title,avg_price_by_title,avg_mileage_by_title,avg_months_on_road_by_title,std_error_pct
פיג'ו 308,20687.11111111111,136230.25925925927,118.77777777777777,19.25679640958252
פיג'ו 5008,91233.078125,99384.5625,54.65625,5.461270284712535
צ׳רי FX,130583.47368421052,25762.21052631579,17.276315789473685,2.866284089285959
צ׳רי טיגו 8 פרו,156638.5975609756,36665.829268292684,17.0609756097561,3.9063209188979946
קאדילק XT5,141689.80701754385,92425.26315789473,66.85964912280701,5.2133563454040095
קופרה פורמנטור,190664.96774193548,38963.032258064515,26.741935483870968,5.298151646751066
קיה נירו,99095.42876165113,106877.50998668442,57.284953395472705,4.387153810288519
קיה נירו פלוס,125250.35616438356,60292.6301369863,27.08219178082192,3.6969955286599587
קיה סורנטו,108842.98717948717,127792.32692307692,87.55128205128206,6.862951682427215
קיה סטוניק,83326.15897435897,72455.15897435897,46.271794871794874,4.1920911513398105
קיה סיד,35149.306666666664,178287.90666666668,101.01333333333334,9.353210876586918
קיה סלטוס,108777.49065420561,58861.63551401869,38.39719626168224,3.1146601884493754
קיה ספורטז',77510.02888888889,108451.24777777778,78.03888888888889,5.136852495506843
קיה פורטה,23220.432835820895,192170.64179104476,137.77611940298507,10.159125987126925
קיה פיקנטו,53751.36856368564,87818.84101174345,75.0,6.0259546349240205
קיה קרניבל,82007.24137931035,168205.39655172414,119.1896551724138,17.522366624738616
קיה ריו,25977.038095238095,169553.7142857143,127.87619047619047,15.530786187113154
רנו מגאן,62584.09512195122,131721.5975609756,62.165853658536584,7.816259646273762
רנו פלואנס,15597.263157894737,220358.67368421052,134.5157894736842,19.701270897274988
רנו קדגא'ר,48617.746268656716,141625.7014925373,87.88059701492537,9.392949920826657
רנו קליאו,33454.37728937729,132775.86813186813,97.6959706959707,11.479420467406863
רנו קנגו,39322.50458715596,174142.91743119265,85.24770642201835,12.229654058917049
רנו קפצ'ור,55540.583333333336,91160.8425925926,81.98148148148148,8.830167666814189
שברולט אורלנדו,21905.16129032258,180759.75806451612,115.96774193548387,14.527751892351844
שברולט אקווינוקס,83054.66666666667,89994.23484848485,61.78030303030303,8.028202060267223
שברולט טראוורס,103918.55737704918,129619.10928961748,94.25136612021858,9.988821556995788
שברולט טראקס,42260.62295081967,110449.97540983607,99.06557377049181,11.274898171249365
שברולט טרייל בלייזר,88384.84269662922,87400.89887640449,53.49438202247191,6.39989910782565
שברולט מאליבו,30224.58415841584,151627.801980198,126.03960396039604,18.746939727550703
שברולט סוניק,13226.605633802817,134481.52112676058,136.85915492957747,16.5202656141587
שברולט ספארק,40421.25679758308,109953.56193353474,88.12990936555892,10.063541794035421
שברולט קרוז,14042.0625,146538.75,137.3125,21.32531939515043
