title,avg_price_by_title,avg_mileage_by_title,avg_months_on_road_by_title,std_error_pct_x,std_error_pct_y
יונדאי איוניק,89750.68596237338,114689.93053545586,57.65412445730825,4.461643007174573,4.461643007174573
יונדאי איוניק 5,168567.64044943822,50493.0,26.93258426966292,3.706706892651196,3.706706892651196
יונדאי אלנטרה,111000.37142857142,79426.01224489795,42.66530612244898,4.68342858876102,4.68342858876102
יונדאי אקסנט i25,27912.147826086955,175419.24782608697,136.1304347826087,15.211208256309034,15.211208256309034
יונדאי וניו,101756.5,46078.846153846156,27.134615384615383,3.324678291999487,3.324678291999487
יונדאי טוסון,103392.85129310345,85982.38577586207,69.99137931034483,6.272712203434878,6.272712203434878
יונדאי סונטה,103363.61956521739,110383.93478260869,67.55797101449275,6.435672385360105,6.435672385360105
יונדאי סנטה פה,87771.42666666667,160769.53333333333,120.90666666666667,13.73578902036917,13.73578902036917
יונדאי קונה,108949.68253968254,59777.15079365079,38.333333333333336,5.883818429780203,5.883818429780203
לנד רובר ריינג' רובר איווק,197196.13461538462,84100.0,72.5576923076923,7.479558943452511,7.479558943452511
לנד רובר ריינג' רובר ספורט,334371.19402985077,110429.19402985074,81.23880597014926,12.644089635300894,12.644089635300894
מאזדה 2,51086.09659090909,123608.21022727272,101.28977272727273,8.098686123105283,8.098686123105283
מאזדה 3,35176.88143176734,176061.31767337807,151.5480984340045,13.147402277634262,13.147402277634262
מאזדה 5,19736.06818181818,217922.42424242425,182.8560606060606,17.233066384156515,17.233066384156515
מאזדה 6,53212.360544217685,156883.40136054423,124.36734693877551,16.304571579436953,16.304571579436953
מאזדה CX-5,92473.64503816795,112252.42748091603,81.8206106870229,5.721280007549072,5.721280007549072
מיצובישי ASX,87112.41428571429,77745.42857142857,52.957142857142856,3.8898810584103365,3.8898810584103365
מיצובישי אאוטלנדר,86266.0391198044,145957.54278728607,91.3398533007335,6.982942326657283,6.982942326657283
מיצובישי אקליפס קרוס,103850.25714285714,67505.84285714285,51.114285714285714,3.7976356202483,3.7976356202483
